Kod,Ders,Öğretim Yöntemi,Eğitmen,Gün,Saat,Bina,Bölüm Sınırlaması,CRN
ING 201A,Essentials of Res.Paper Writ.,Online,-,Thursday,13:30/15:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20505
ING 201A,Essentials of Res.Paper Writ.,Online,-,Thursday,13:30/15:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20506
ING 201A,Essentials of Res.Paper Writ.,Online,-,Thursday,13:30/15:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20507
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,08:30/10:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20508
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,08:30/10:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20509
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,08:30/10:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20510
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,10:30/12:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20511
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,10:30/12:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20512
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,10:30/12:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20513
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,10:30/12:29,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20514
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,14:00/15:59,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20515
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,14:00/15:59,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20516
ING 201A,Essentials of Res.Paper Writ.,Online,-,Friday,14:00/15:59,YDY / --,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",20517
ING 206,English IV,Fiziksel,-,Tuesday,13:30/16:29,MSB / --,"BST_LS, CAB_3T_LS, CAB_4T_LS, CAB_BG_LS, CAB_DL_LS, CAB_DS_LS, CAB_KA_LS, CAB_KE_LS, CAB_KL_LS, CAB_KM_LS, CAB_KO_LS, CAB_LS, CAB_ME_LS, CAB_NE_LS, CAB_TA_LS, CAB_TN_LS, CAB_UD_LS, CAB_VC_LS, CAB_VI_LS, CAB_VS_LS, CEB_LS, KMP_LS, MTR_LS, MUT_LS, MUZ_LS, MUZE_LS, MZT_LS, SES_LS, SES_TH_LS, SES_TS_LS, THO_LS",20532
ING 206,English IV,Fiziksel,-,Thursday,13:30/16:29,MSB / --,"BST_LS, CAB_3T_LS, CAB_4T_LS, CAB_BG_LS, CAB_DL_LS, CAB_DS_LS, CAB_KA_LS, CAB_KE_LS, CAB_KL_LS, CAB_KM_LS, CAB_KO_LS, CAB_LS, CAB_ME_LS, CAB_NE_LS, CAB_TA_LS, CAB_TN_LS, CAB_UD_LS, CAB_VC_LS, CAB_VI_LS, CAB_VS_LS, CEB_LS, KMP_LS, MTR_LS, MUT_LS, MUZ_LS, MUZE_LS, MZT_LS, SES_LS, SES_TH_LS, SES_TS_LS, THO_LS",20533
ING 206,English IV,Fiziksel,-,Wednesday,08:30/11:29,MSB / --,"BST_LS, CAB_3T_LS, CAB_4T_LS, CAB_BG_LS, CAB_DL_LS, CAB_DS_LS, CAB_KA_LS, CAB_KE_LS, CAB_KL_LS, CAB_KM_LS, CAB_KO_LS, CAB_LS, CAB_ME_LS, CAB_NE_LS, CAB_TA_LS, CAB_TN_LS, CAB_UD_LS, CAB_VC_LS, CAB_VI_LS, CAB_VS_LS, CEB_LS, KMP_LS, MTR_LS, MUT_LS, MUZ_LS, MUZE_LS, MZT_LS, SES_LS, SES_TH_LS, SES_TS_LS, THO_LS",20534
ING 206,English IV,Fiziksel,-,Thursday,08:30/11:29,MSB / --,"BST_LS, CAB_3T_LS, CAB_4T_LS, CAB_BG_LS, CAB_DL_LS, CAB_DS_LS, CAB_KA_LS, CAB_KE_LS, CAB_KL_LS, CAB_KM_LS, CAB_KO_LS, CAB_LS, CAB_ME_LS, CAB_NE_LS, CAB_TA_LS, CAB_TN_LS, CAB_UD_LS, CAB_VC_LS, CAB_VI_LS, CAB_VS_LS, CEB_LS, KMP_LS, MTR_LS, MUT_LS, MUZ_LS, MUZE_LS, MZT_LS, SES_LS, SES_TH_LS, SES_TS_LS, THO_LS",20535
INS 101,Teknik Resim,Fiziksel,Haluk Emre Alçiçek,Friday,09:30/12:29,INB / --,INS_LS,22632
INS 101E,Technical Drawing,Fiziksel,Sibel Gürel,Thursday,13:30/16:29,INB / --,"INS_LS, INSE_LS",22638
INS 102,Statik,Fiziksel,Nihal Eratlı,Tuesday | Wednesday,13:30/15:29 | 12:30/14:29,INB / INB / -- / --,INS_LS,22675
INS 102,Statik,Fiziksel,Bahattin Kimençe,Tuesday | Wednesday,13:30/15:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22677
INS 102,Statik,Fiziksel,Abdul Hayır,Wednesday | Friday,13:30/15:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22678
INS 102E,Statics,Fiziksel,Semih Küçükarslan,Thursday | Friday,08:30/10:29 | 10:30/12:29,INB / INB / -- / --,"INS_LS, INSE_LS",22680
INS 102E,Statics,Fiziksel,Osman Bulut,Thursday | Friday,08:30/10:29 | 08:30/10:29,INB / INB / -- / --,"INS_LS, INSE_LS",22683
INS 107E,Int. to Prog. Lang. (Python),Online,Fırat Doğu Akın,Friday,14:00/16:59,INB / --,"INS_LS, INSE_LS",22646
INS 202E,Numerical Methods inCivil Eng.,Fiziksel,Atila Sezen,Monday,10:30/12:29,INB / --,"INS_LS, INSE_LS",22723
INS 210,İnşaat Mühendisleri için Matematik,Fiziksel,Elif Kartal,Tuesday,10:30/12:29,INB / --,INS_LS,22688
INS 210E,Mathematics for Civil Engineers,Fiziksel,Taha Yüksel,Tuesday,10:30/12:29,INB / --,"INS_LS, INSE_LS",22691
INS 214E,Partial Differential Equations,Fiziksel,Teoman Özer,Tuesday,09:30/12:29,INB / --,"INS_LS, INSE_LS",22782
INS 215E,Materials Science,Fiziksel,Ayda Şafak Ağar Özbek,Wednesday,09:30/12:29,INB / --,"INS_LS, INSE_LS",22720
INS 217,Mukavemet I,Fiziksel,Teoman Özer,Wednesday | Thursday,13:30/15:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22693
INS 217E,Strength of Materials I,Fiziksel,Pınar Özdemir Çağlayan,Thursday | Friday,10:30/12:29 | 14:00/15:59,INB / INB / -- / --,"INS_LS, INSE_LS",22697
INS 218,Mukavemet II,Fiziksel,-,Wednesday | Friday,13:30/15:29 | 14:00/15:59,INB / INB / -- / --,INS_LS,22738
INS 218,Mukavemet II,Fiziksel,Fethi Kadıoğlu,Wednesday | Friday,13:30/15:29 | 14:00/15:59,INB / INB / -- / --,INS_LS,22756
INS 218,Mukavemet II,Fiziksel,Abdullah Gedikli,Thursday | Friday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22762
INS 218E,Strength of Materials II,Fiziksel,Hale Ergün,Wednesday | Friday,13:30/15:29 | 14:00/15:59,INB / INB / -- / --,INSE_LS,22765
INS 218E,Strength of Materials II,Fiziksel,Ünal Aldemir,Tuesday | Friday,13:30/15:29 | 10:30/12:29,INB / INB / -- / --,INSE_LS,22774
INS 226,Mühendis Matematik Model Esas,Fiziksel,Yavuz Selim Güçlü,Tuesday,09:30/12:29,INB / --,INS_LS,22778
INS 230,Yapı Malzemesi,Fiziksel,Hasan Nuri Türkmenoğlu,Thursday,13:30/16:29,INB / --,INS_LS,22786
INS 230,Yapı Malzemesi,Fiziksel,Hasan Yıldırım,Thursday,13:30/16:29,INB / --,INS_LS,22789
INS 230,Yapı Malzemesi,Fiziksel,Ünal Anıl Doğan,Wednesday,09:30/12:29,INB / --,INS_LS,22791
INS 230E,Building Materials,Fiziksel,Özkan Şengül,Wednesday,09:30/12:29,INB / --,INSE_LS,22796
INS 230E,Building Materials,Fiziksel,Özgür Ekincioğlu,Thursday,13:30/16:29,INB / --,INSE_LS,22799
INS 232,Ölçme Bilgisi,Fiziksel,Adil Enis Arslan,Monday,13:30/16:29,INB / --,INS_LS,22843
INS 232,Ölçme Bilgisi,Fiziksel,"Mustafa Yanalak , / Mehmet İşiler",Tuesday,13:30/16:29,INB / --,INS_LS,22848
INS 232E,Surveying,Fiziksel,Hasan Tonbul,Monday,13:30/16:29,INB / --,"INS_LS, INSE_LS",22854
INS 232E,Surveying,Fiziksel,"Serdar Bilgi , / Mustafa Fahri Karabulut",Tuesday,13:30/16:29,INB / --,"INS_LS, INSE_LS",22859
INS 301,Mühendislik Ekonomisi,Fiziksel,Fırat Doğu Akın,Thursday,10:30/12:29,INB / --,INS_LS,22858
INS 301E,Engineering Economics,Fiziksel,Atilla Damcı,Thursday,10:30/12:29,INB / --,"AIN_LS, INSE_LS",22862
INS 302,Karayolu Mühendisliği,Fiziksel,Hüseyin Onur Tezcan,Wednesday | Friday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22891
INS 302,Karayolu Mühendisliği,Fiziksel,"Şükrüye İyinam , / Taha Yüksel",Tuesday | Thursday,12:30/14:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22898
INS 302,Karayolu Mühendisliği,Fiziksel,"Abdullah Hilmi Lav , / Hilmi Berk Çelikoğlu",Tuesday,13:00/16:59,INB / --,INS_LS,22904
INS 302,Karayolu Mühendisliği,Fiziksel,Kemal Selçuk Öğüt,Tuesday | Thursday,15:30/17:29 | 15:30/17:29,INB / INB / -- / --,INS_LS,22906
INS 302E,Highway Engineering,Fiziksel,Halit Özen,Monday | Tuesday,13:00/14:59 | 09:30/11:29,INB / INB / -- / --,"AIN_LS, INSE_LS",22907
INS 302E,Highway Engineering,Fiziksel,Oğuz Tengilimoğlu,Tuesday | Wednesday,13:00/14:59 | 09:30/11:29,INB / INB / -- / --,"AIN_LS, INSE_LS",22916
INS 303,Zemin Mekaniği I,Fiziksel,Ayşegül Bayın Sarıahmetoğlu,Thursday | Friday,13:30/16:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22841
INS 303E,Soil Mechanics I,Fiziksel,"Mustafa Hatipoğlu , / Ozan Alver",Thursday | Friday,13:30/16:29 | 10:30/12:29,INB / INB / -- / --,"AIN_LS, INS_LS, INSE_LS",22844
INS 304,Yapı İşletmesi,Fiziksel,Gül Polat Tatar,Thursday,13:30/16:29,INB / --,INS_LS,22931
INS 304,Yapı İşletmesi,Fiziksel,Feyzi Haznedaroğlu,Monday,13:30/16:29,INB / --,INS_LS,22932
INS 304,Yapı İşletmesi,Fiziksel,Atilla Damcı,Thursday,13:30/16:29,INB / --,INS_LS,22933
INS 304,Yapı İşletmesi,Fiziksel,Harun Türkoğlu,Thursday,13:30/16:29,INB / --,INS_LS,22934
INS 304E,Construction Management,Fiziksel,Esin Ergen Pehlevan,Monday,13:30/16:29,INB / --,"AIN_LS, INSE_LS",22936
INS 304E,Construction Management,Fiziksel,Onur Behzat Tokdemir,Friday,09:30/12:29,INB / --,"AIN_LS, INSE_LS",22937
INS 305,Olasılık ve İstatistik,Fiziksel,Eyyup Ensar Başakın,Tuesday,13:00/14:59,INB / --,INS_LS,22850
INS 305E,Probability and Statistics,Fiziksel,Ayda Şafak Ağar Özbek,Tuesday,13:00/14:59,INB / --,"AIN_LS, INSE_LS",22853
INS 323,Yapı Statiği I,Fiziksel,Mecit Çelik,Monday | Tuesday,08:30/10:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22819
INS 323,Yapı Statiği I,Fiziksel,Ahmet Güllü,Monday | Tuesday,13:30/15:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22824
INS 323E,Theory of Structures I,Fiziksel,Nilay Çelik Muhtaroğlu,Tuesday | Wednesday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,"AIN_LS, INS_LS, INSE_LS",22827
INS 323E,Theory of Structures I,Fiziksel,Pınar Teymür,Tuesday | Wednesday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,"AIN_LS, INS_LS, INSE_LS",22833
INS 325,Demiryolu Müh.,Fiziksel,Sabahat Topuz Kiremitçi,Monday,13:30/15:29,INB / --,INS_LS,24788
INS 325E,Railway Engineering,Fiziksel,Sabahat Topuz Kiremitçi,Tuesday,08:30/10:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22837
INS 332,Temel İnşaatı I,Fiziksel,Recep İyisan,Monday,13:30/16:29,INB / --,INS_LS,22925
INS 332,Temel İnşaatı I,Fiziksel,Mustafa Hatipoğlu,Monday,13:30/16:29,INB / --,INS_LS,22926
INS 332,Temel İnşaatı I,Fiziksel,Gökhan Çevikbilen,Friday,09:30/12:29,INB / --,INS_LS,22927
INS 332E,Foundation Engineering I,Fiziksel,Esra Ece Bayat,Thursday,09:30/12:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22928
INS 332E,Foundation Engineering I,Fiziksel,Müge Balkaya,Monday,13:30/16:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22929
INS 332E,Foundation Engineering I,Fiziksel,Berrak Teymür,Monday,13:30/16:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22930
INS 336,Yapı Statiği II,Fiziksel,Mehmet Günhan Aksoylu,Thursday | Friday,08:30/10:29 | 14:00/15:59,INB / INB / -- / --,INS_LS,22917
INS 336,Yapı Statiği II,Fiziksel,Konuralp Girgin,Tuesday | Wednesday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22919
INS 336,Yapı Statiği II,Fiziksel,Yavuz Durgun,Tuesday | Wednesday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22920
INS 336E,Theory of Structures II,Fiziksel,Ülkü Hülya Çalık Karaköse,Tuesday | Wednesday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,"AIN_LS, INSE_LS",22923
INS 336E,Theory of Structures II,Fiziksel,Burcu Güneş,Thursday | Friday,08:30/10:29 | 14:00/15:59,INB / INB / -- / --,"AIN_LS, INSE_LS",22924
INS 338,Betonarme I,Fiziksel,Mustafa Gençoğlu,Tuesday | Thursday,08:30/10:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22872
INS 338,Betonarme I,Fiziksel,Yıldır Akkaya,Tuesday | Thursday,08:30/10:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22876
INS 338,Betonarme I,Fiziksel,Erol Lale,Tuesday | Thursday,08:30/10:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22881
INS 338,Betonarme I,Fiziksel,Kutlu Darılmaz,Wednesday | Thursday,13:30/15:29 | 13:30/15:29,INB / INB / -- / --,INS_LS,22885
INS 338E,Reinforced Concrete I,Fiziksel,Cem Demir,Tuesday | Thursday,08:30/10:29 | 10:30/12:29,INB / INB / -- / --,"AIN_LS, INS_LS, INSE_LS",22888
INS 338E,Reinforced Concrete I,Fiziksel,Alper İlki,Wednesday | Thursday,13:30/15:29 | 13:30/15:29,INB / INB / -- / --,"AIN_LS, INS_LS, INSE_LS",22889
INS 344,Çelik Yapılar I,Fiziksel,Güliz Bayramoğlu,Tuesday | Wednesday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,INS_LS,22938
INS 344,Çelik Yapılar I,Fiziksel,Kadir Özakgül,Thursday | Friday,08:30/10:29 | 14:00/15:59,INB / INB / -- / --,INS_LS,22940
INS 344,Çelik Yapılar I,Fiziksel,Haluk Emre Alçiçek,Thursday | Friday,08:30/10:29 | 14:00/15:59,INB / INB / -- / --,INS_LS,22941
INS 344E,Steel Structures I,Fiziksel,Ömer Tuğrul Turan,Tuesday | Wednesday,10:30/12:29 | 10:30/12:29,INB / INB / -- / --,"AIN_LS, INSE_LS",22943
INS 344E,Steel Structures I,Fiziksel,Barlas Özden Çağlayan,Thursday | Friday,08:30/10:29 | 14:00/15:59,INB / INB / -- / --,"AIN_LS, INS_LS, INSE_LS",22944
INS 345,Yap. Bilg. Dest. Model. Giriş,Fiziksel,"Fethi Kadıoğlu , / Erol Demirkan",Wednesday,09:30/12:29,INB / --,INS_LS,22865
INS 354,Hidroloji,Fiziksel,"Elif Kartal , / Eyyup Ensar Başakın",Monday,09:30/12:29,INB / --,INS_LS,22893
INS 354,Hidroloji,Fiziksel,Erdal Kesgin,Tuesday,13:30/16:29,INB / --,INS_LS,22895
INS 354E,Hydrology,Fiziksel,Mehmet Cüneyd Demirel,Monday,09:30/12:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22897
INS 354E,Hydrology,Fiziksel,Tarkan Erdik,Tuesday,13:30/16:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22903
INS 360,Hidrolik,Fiziksel,Ercan Kahya,Monday | Wednesday,10:30/12:29 | 13:30/15:29,INB / INB / -- / --,"CEV_LS, INS_LS",22803
INS 360,Hidrolik,Fiziksel,İsmail Dabanlı,Monday | Wednesday,10:30/12:29 | 13:30/15:29,INB / INB / -- / --,"CEV_LS, INS_LS",22810
INS 360E,Hydraulics,Fiziksel,Cihan Bayındır,Monday | Wednesday,10:30/12:29 | 13:30/15:29,INB / INB / -- / --,"AIN_LS, CEV_LS, CEVE_LS, INS_LS, INSE_LS",22813
INS 401,Su Kaynakları,Fiziksel,Erdal Kesgin,Wednesday,09:30/11:29,INB / --,INS_LS,22945
INS 401E,Water Resources,Fiziksel,Tarkan Erdik,Monday,09:30/11:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22948
INS 4033,Şantiye Tekniği,Fiziksel,"Murat Kuruoğlu , / Feyzi Haznedaroğlu",Wednesday,09:30/12:29,INB / --,INS_LS,22956
INS 4036E,Fundamentals of Earthquake Eng,Fiziksel,Pınar Özdemir Çağlayan,Wednesday,12:30/15:29,INB / --,"AIN_LS, INS_LS, INSE_LS",22953
INS 4039,Yapısal Yangın Güvenliği,Fiziksel,Mustafa Gençoğlu,Monday,09:30/12:29,INB / --,"INS_LS, YAN_YD",22966
